addr_of_building_in_chn,addr_of_building_in_eng,name_of_ocomm_in_chn,name_of_ocomm_in_eng
香港島灣仔區謝斐道391-407號新時代中心,"Times Tower, NO.391-407, JAFFE ROAD, WAN CHAI, HONG KONG",新時代中心業主委員會,TIMES TOWER OWNERS' COMMITTEE
九龍深水埗區元州街85-95號新高登電腦廣場.,"NEW CAPITAL COMPUTER PLAZA, NO.85-95, UN CHAU STREET, SHAM SHUI PO, KOWLOON",新高登電腦商場業主委員會,NEW CAPITAL COMPUTER PLAZA OWNERS' COMMITTEE
新界西貢區唐德街9號第1座將軍澳中心第一座,"TOWER 1, Park Central Tower 1, NO.9, TONG TAK STREET, PARK CENTRAL, SAI KUNG, NEW TERRITORIES",將軍澳中心66地段業主委員會,OWNERS' COMMITTEE OF LOT 66 PARK CENTRAL
新界荃灣區青山公路33號碧堤半島第九座,"Bellagio Tower 9, NO.33, CASTLE PEAK ROAD, BELLAGIO, TSUEN WAN, NEW TERRITORIES",碧堤半島業主委員會,THE OWNERS' COMMITTEE OF BELLAGIO OWNERS' COMMITTEE
新界西貢區寶康路88號第一座怡心園第1座,"BLOCK 1, Serenity Place Block 1, NO.88, PO HONG ROAD, SERENITY PLACE, SAI KUNG, NEW TERRITORIES",怡心園業主委員會,OWNERS' COMMITTEE OF SERENITY PLACE
新界荃灣區川龍街88號協和廣場,"CONCORD SQUARE, NO.88, CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",海天豪苑業主委員會,THE BLUE YARD OWNERS' COMMITTEE
九龍九龍城區何文田山道1號1號何文田山1號,"No. 1 Homantin Hill, NO.1, HOMANTIN HILL ROAD, KOWLOON CITY, KOWLOON",何文田山1號業主委員會,NO. 1 HOMANTIN HILL OWNERS' COMMITTEE
九龍深水埗區福華街146-152號黃金大廈黃金電腦商場,"Golden Computer Arcade, GOLDEN BUILDING, NO.146-152, FUK WA STREET, SHAM SHUI PO, KOWLOON",高登商場業主委員會,GOLDEN SHOPPING CENTRE OWNERS' COMITTEE OWNERS' COMMITTEE
香港島灣仔區皇后大道東119-121號欣景閣,"YAN KING COURT, NO.119-121, QUEEN'S ROAD EAST, WAN CHAI, HONG KONG",欣景閣業主委員會,YAN KING COURT OWNERS' COMMITTEE
新界元朗區寶業街采葉庭1座,"TOWER 1, TOWER 1, PO YIP STREET, THE PARCVILLE, YUEN LONG, NEW TERRITORIES",采葉庭業主委員會,THE PARCVILLE OWNERS' COMMITTEE
新界北區和滿街9號御庭軒第六座,"BLOCK 6, BLOCK 6, NO.9, WO MUN STREET, GRAND REGENTVILLE, NORTH, NEW TERRITORIES",御庭軒業主委員會,GRAND REGENTVILLE OWNERS' COMMITTEE
新界葵青區葵聯路100號月海灣第一座,"Horizon Place Tower One, NO.100, KWAI LUEN ROAD, HORIZON PLACE, KWAI TSING, NEW TERRITORIES",月海灣業主委員會,HORIZON PLACE OWNERS' COMMITTEE
九龍深水埗區荔枝角道833號昇悅居第一座,"Liberte Block 1, NO.833, LAI CHI KOK ROAD, LIBERTE, SHAM SHUI PO, KOWLOON",昇悅居業主委員會,LIBERTE OWNERS' COMMITTEE
九龍深水埗區北河街132號樂意居,"DeLight Court, NO.132, PEI HO STREET, SHAM SHUI PO, KOWLOON",樂意居業主委員會,DELIGHT COURT OWNERS' COMMITTEE
香港島灣仔區太原街38號太源閣,"TAI YUEN COURT, NO.38, TAI YUEN STREET, WAN CHAI, HONG KONG",太源閣業主委員會,TAI YUEN COURT OWNERS' COMMITTEE
香港島灣仔區鳳輝臺12號蔚雲閣,"Celeste Court, NO.12, FUNG FAI TERRACE, WAN CHAI, HONG KONG",蔚雲閣業主委員會,CELESTE COURT OWNERS' COMMITTEE
香港島灣仔區李節街1號李節花園,"Li Chit Garden, NO.1, LI CHIT STREET, WAN CHAI, HONG KONG",李節花園業主委員會,LI CHIT GARDEN OWNERS' COMMITTEE
九龍深水埗區荔枝角道863號泓景臺第一座,"BANYAN GARDEN BLOCK 1, NO.863, LAI CHI KOK ROAD, BANYAN GARDEN, SHAM SHUI PO, KOWLOON",泓景臺業主委員會,BANYAN GARDEN OWNERS' COMMITTEE
香港島灣仔區港灣道1號香港會議展覽中心會景閣,"Convention Plaza, NO.1, HARBOUR ROAD, HK CONVENTION AND EXHIBITION CENTRE, WAN CHAI, HONG KONG",會景閣業主委員會,CONVENTION PLAZA APARTMENTS OWNERS' COMMITTEE
香港島灣仔區怡和街46-54號麥當勞大廈,"McDonald's Building, NO.46-54, YEE WO STREET, WAN CHAI, HONG KONG",麥當勞大廈業主委員會,OWNERS' COMMITTEE OF MCDONALD'S BUILDING
香港灣仔區大坑道5號光明臺第1座,"BLOCK 1, ILLUMINATION TERRACE, NO.5, TAI HANG ROAD, WAN CHAI, HONG KONG",光明臺業主委員會,OWNERS' COMMITTEE OF ILLUMINATION TERRACE
香港南區APIL128鴨脷洲徑3號深灣軒第1座,"TOWER 1, SHAM WAN TOWERS, NO.3, AP LEI CHAU DRIVE, APIL128, SOUTHERN, HONG KONG",深灣軒業主委員會,SHAM WAN TOWERS OWNERS' COMMITTEE
新界西貢區唐德街1號將軍澳廣場第一座,"BLOCK 1, Tseung Kwan O Plaza Tower 1, NO.1, TONG TAK STREET, TSEUNG KWAN O PLAZA, SAI KUNG, NEW TERRITORIES",將軍澳廣場業主委員會,OWNERS' COMMITTEE OF TSEUNG KWAN O PLAZA
九龍觀塘區海濱道139號海濱中心,"SEAVIEW CENTRE, NO.139, HOI BUN ROAD, KWUN TONG, KOWLOON",海濱中心業主委員會,SEAVIEW CENTRE OWNERS' COMMITTEE
九龍觀塘區馬蹄徑1號寶恩大廈,"Bo Yan Building, NO.1, HORSE SHOE LANE, KWUN TONG, KOWLOON",寶恩大廈業主委員會,BO YAN BUILDING OWNERS' COMMITTEE
香港島東區基利路1-3號逸樺園第一座,"The Orchards Tower 1, NO.1-3, GREIG ROAD, THE ORCHARDS, EASTERN, HONG KONG",逸樺園業主委員會,THE ORCHARDS OWNERS' COMMITTEE
新界西貢區唐德街9號將軍澳中心將軍澳豪庭,"Central Heights, NO.9, TONG TAK STREET, PARK CENTRAL, SAI KUNG, NEW TERRITORIES",將軍澳中心74地段業主委員會,OWNERS' COMMITTEE OF LOT 74 PARK CENTRAL
新界荃灣區珀麗路8號珀麗灣6期第35座,"BLOCK 35, PHASE 6, Block 35, NO.8, PAK LAI ROAD, PARK ISLAND PHASE 6, TSUEN WAN, NEW TERRITORIES",珀麗灣業主委員會,PARK ISLAND OWNERS' COMMITTEE
新界葵青區青衣路1號藍澄灣第一座,"Rambler Crest Tower 1, NO.1, TSING YI ROAD, RAMBLER CREST, KWAI TSING, NEW TERRITORIES",藍澄灣業主委員會,THE OWNERS' COMMITTEE OF RAMBLER CREST
九龍九龍城區獅子石道1號,"No. 1 LION ROCK ROAD, NO.1, LION ROCK ROAD, KOWLOON CITY, KOWLOON",獅子石道1號業主委員會,NO. 1 LION ROCK ROAD OWNERS' COMMITTEE
九龍九龍城區農圃道18號,"No. 18 Farm Road, NO.18, FARM ROAD, KOWLOON CITY, KOWLOON",農圃道18號業主委員會,NO. 18 FARM ROAD OWNERS' COMMITTEE
九龍九龍城區宋皇臺道38號傲雲峰第一座,"TOWER 1, Tower 1, NO.38, SUNG WONG TOI ROAD, SKY TOWER, KOWLOON CITY, KOWLOON",傲雲峰業主委員會,SKY TOWER OWNERS' COMMITTEE
香港島南區壽山村道22號怡禮苑,"Elite Villas, NO.22, SHOUSON HILL ROAD, SOUTHERN, HONG KONG",怡禮苑業主委員會,ELITE VILLAS OWNERS' COMMITTEE
香港島中西區堅道46號御景臺,"Scenic Rise, NO.46, CAINE ROAD, CENTRAL AND WESTERN, HONG KONG",御景臺業主委員會,SCENIC RISE OWNERS' COMMITTEE
香港島東區南安街83號海安商業中心,"Eastern Commercial Centre, NO.83, NAM ON STREET, EASTERN, HONG KONG",海安商業中心業主委員會,EASTERN COMMERCIAL CENTRE OWNERS' COMMITTEE
九龍油尖旺區京士柏山道1號京士柏山洋房1,"House 1, NO.1, KING'S PARK HILL ROAD, KING'S PARK HILL, YAU TSIM MONG, KOWLOON",京士柏山業主委員會,KING'S PARK HILL OWNERS' COMMITTEE
香港島中西區舊山頂道17-23號帝景園第3座,"Dynasty Court Tower 3, NO.17-23, OLD PEAK ROAD, DYNASTY COURT, CENTRAL AND WESTERN, HONG KONG",帝景園業主委員會,DYNASTY COURT OWNERS' COMMITTEE
新界離島區東涌海濱路12號藍天海岸藍天海岸一座,"Coastal Skyline Block 1, NO.12, TUNG CHUNG WATERFRONT ROAD, COASTAL SKYLINE, ISLANDS, NEW TERRITORIES",藍天海岸第一期業主附屬委員會,COASTAL SKYLINE PHASE I OWNERS SUB-COMMITTEE
九龍觀塘區NKIL5877宏照道39號企業廣場3期,"ENTERPRISE SQUARE THREE, NO.39, WANG CHIU ROAD, 5877, NKIL, KWUN TONG, KOWLOON",企業廣場三期業主委員會,ENTERPRISE SQUARE THREE OWNERS' COMMITTEE
香港島東區IL8955太康街38號嘉亨灣第一座,"Grand Promenade Tower 1, NO.38, TAI HONG STREET, 8955, IL, GRAND PROMENADE, EASTERN, HONG KONG",嘉亨灣業主委員會,GRAND PROMENADE OWNERS' COMMITTEE
九龍深水埗區大南街370-372號嘉利閣,"Gold Canyon Court, NO.370-372, TAI NAN STREET, SHAM SHUI PO, KOWLOON",嘉利閣業主委員會,GOLD CANYON COURT OWNERS' COMMITTEE
新界離島區健東路1號映灣園 悅濤軒第九座,"Carmel Cove Tower 9, NO.1, KIN TUNG ROAD,  CARIBBEAN COAST , ISLANDS, NEW TERRITORIES",映灣園第三期業主附屬委員會(悅濤軒),CARIBBEAN COAST PHASE III OWNERS' SUB-COMMITTEE (CARMEL COVE)
九龍深水埗區寶輪街1號曼克頓山,"NO.1, PO LUN STREET, MANHATTAN HILL, SHAM SHUI PO, KOWLOON",曼克頓山業主委員會,MANHATTAN HILL OWNERS' COMMITTEE
新界沙田區保泰街1號海典灣第2座,"TOWER 2, OCEAN VIEW, NO.1, PO TAI STREET, SHA TIN, NEW TERRITORIES",海典灣業主委員會,OCEAN VIEW OWNERS' COMMITTEE
新界荃灣區安育路2號翠豐臺第1座,"TOWER 1, SUMMIT TERRACE, NO.2, ON YUK ROAD, TSUEN WAN, NEW TERRITORIES",翠豐臺業主委員會,SUMMIT TERRACE OWNERS' COMMITTEE
香港島東區海光街13號海光苑第一座,"BLOCK I, BLOCK I, NO.13, HOI KWONG STREET, HOI KWONG COURT, EASTERN, HONG KONG",海光苑業主委員會,HOI KWONG COURT OWNERS' COMMITTEE
新界離島區健東路2號映灣園 賞濤軒第一座,"Monterey Cove Tower 1, NO.2, KIN TUNG ROAD,  CARIBBEAN COAST , ISLANDS, NEW TERRITORIES",映灣園第一期業主附屬委員會(賞濤軒),CARIBBEAN COAST PHASE I OWNERS' SUB-COMMITTEE (MONTEREY COVE)
新界離島區東涌海濱路8號海堤灣畔海堤灣畔第一座,"Seaview Crescent Block 1, NO.8, TUNG CHUNG WATERFRONT ROAD, SEAVIEW CRESCENT, ISLANDS, NEW TERRITORIES",海堤灣畔住宅業主附屬委員會,SEAVIEW CRESCENT RESIDENTIAL OWNERS' SUB-COMMITTEE
新界離島區健東路1號映灣園 映濤軒第六座,"Albany Cove Tower 6, NO.1, KIN TUNG ROAD,  CARIBBEAN COAST , ISLANDS, NEW TERRITORIES",映灣園第二期業主附屬委員會(映濤軒),CARIBBEAN COAST PHASE II OWNERS' SUB-COMMITTEE (ALBANY COVE)
新界離島區健東路1號映灣園 聽濤軒第十五座,"Crystal Cove Tower 15, NO.1, KIN TUNG ROAD,  CARIBBEAN COAST , ISLANDS, NEW TERRITORIES",映灣園第四期業主附屬委員會(聽濤軒),CARIBBEAN COAST PHASE IV OWNERS' SUB-COMMITTEE (CRYSTAL COVE)
九龍深水埗區保安道373號豐盛居,"NO.373, PO ON ROAD, BEACON LODGE, SHAM SHUI PO, KOWLOON",豐盛居業主委員會,BEACON LODGE OWNERS' COMMITTEE
九龍深水埗區歌和老街20號畢架山峰 第一座,"MOUNT BEACON TOWER ONE, NO.20, CORNWALL STREET, MOUNT BEACON, SHAM SHUI PO, KOWLOON",畢架山峰業主委員會,MOUNT BEACON OWNERS' COMMITTEE
九龍油尖旺區柯士甸路西1號凱旋門映月閣(2A座),"Moon Tower (Tower 2A), NO.1, AUSTIN ROAD WEST, THE ARCH, YAU TSIM MONG, KOWLOON",凱旋門業主委員會,THE ARCH OWNERS' COMMITTEE
九龍油尖旺區柯士甸道西1號君臨天下第三座,"Tower 3, NO.1, AUSTIN ROAD WEST, THE HARBOURSIDE, YAU TSIM MONG, KOWLOON",君臨天下業主委員會,THE HARBOURSIDE OWNERS' COMMITTEE
九龍油尖旺區柯士甸道西1號擎天半島第1座,"Tower 1, NO.1, AUSTIN ROAD WEST, SORRENTO, YAU TSIM MONG, KOWLOON",擎天半島業主委員會,SORRENTO OWNERS' COMMITTEE
九龍油尖旺區新填地街595號MOD 595,"MOD595, NO.595, RECLAMATION STREET, MOD 595, YAU TSIM MONG, KOWLOON",MOD 595業主委員會,MOD 595 OWNERS' COMMITTEE
九龍油尖旺區海輝道18號一號銀海第一座,"One Silver Sea Tower 1, NO.18, HOI FAI ROAD, ONE SILVER SEA, YAU TSIM MONG, KOWLOON",一號銀海業主委員會,ONE SILVER SEA OWNERS' COMMITTEE
九龍油尖旺區吳松街154-164號寶靈商業中心,"BOWRING COMMERCIAL CENTER, NO.154-164, WOOSUNG STREET, YAU TSIM MONG, KOWLOON",寶靈商業中心業主委員會,BOWRING COMMERCIAL CENTRE OWNERS' COMMITTEE
九龍油尖旺區海庭道18號帝柏海灣第一座,"Central Park Tower 1, NO.18, HOI TING ROAD, CENTRAL PARK, YAU TSIM MONG, KOWLOON",帝柏海灣/柏景灣住宅業主附屬委員會,CENTRAL PARK / PARK AVENUE RESIDENTIAL OWNERS' SUB-COMMITTEE
新界北區馬適路38號皇府山1 座,"BLOCK 1, BLOCK 1, NO.38, MA SIK ROAD, NOBLE HILL, NORTH, NEW TERRITORIES",皇府山業主委員會,NOBLE HILL OWNERS' COMMITTEE
九龍九龍城區新碼頭街38號翔龍灣1座,"NO.38, SAN MA TAU STREET, GRAND WATERFRONT TOWER 1, KOWLOON CITY, KOWLOON",翔龍灣業主委員會,GRAND WATERFRONT OWNERS' COMMITTEE
九龍九龍城區九龍城道151號浩明雅苑,"Homing Terrace, NO.151, KOWLOON CITY ROAD, KOWLOON CITY, KOWLOON",浩明雅苑業主委員會,HOMING TERRACE OWNERS' COMMITTEE
新界大埔區大埔頭518號華樂豪庭,"NO.518, TAI PO TAU, THE WONDERLAND, TAI PO, NEW TERRITORIES",華樂豪庭業主委員會,THE WONDERLAND OWNERS' COMMITTEE
九龍九龍城區太子道西448號太子匯,"Prince Ritz, NO.448, PRINCE EDWARD ROAD WEST, KOWLOON CITY, KOWLOON",太子匯業主委員會,PRINCE RITZ OWNERS' COMMITTEE
香港島中西區薄扶林道89號寶翠園第八座,"BLOCK 8, BLOCK 8, NO.89, POK FU LAM ROAD, THE BELCHER'S, CENTRAL AND WESTERN, HONG KONG",寶翠園業主委員會,THE BELCHER'S OWNERS' COMMITTEE
香港島中西區堅尼地道3號帝景閣,"NO.3, KENNEDY ROAD, THE ROYAL COURT, CENTRAL AND WESTERN, HONG KONG",帝景閣業主委員會,THE ROYAL COURT OWNERS' COMMITTEE
九龍油尖旺區深旺道8號君滙港第一座,"Harbour Green Tower 1, NO.8, SHAM MONG ROAD, HARBOUR GREEN, YAU TSIM MONG, KOWLOON",君匯港業主委員會,HARBOUR GREEN OWNERS' COMMITTEE
香港島東區英皇道278-288號北角中心大廈英皇栢麗大道商場,"KING'S PARK LANE, NO.278-288, KING'S ROAD, NORTH POINT CENTRE, EASTERN, HONG KONG",英皇柏麗大道業主委員會,KING'S PARK LANE OWNERS' COMMITTEE
新界北區清曉路8號御景峰,"8 ROYAL GREEN, NO.8, CHING HIU ROAD, NORTH, NEW TERRITORIES",御景峰業主委員會,8 ROYAL GREEN OWNERS' COMMITTEE
香港島南區AIL34香港仔大道238號南灣御園,"Jadewater, NO.238, ABERDEEN MAIN ROAD, 34, AIL, SOUTHERN, HONG KONG",STANDARD NAME: 南灣御園業主委員會,STANDARD NAME: JADEWATER OWNERS' COMMITTEE
九龍油尖旺區柯士甸道西1號天壐第20座,"Tower 20, NO.1, AUSTIN ROAD W, THE CULLINAN, YAU TSIM MONG, KOWLOON",天璽業主附屬委員會,THE CULLINAN OWNERS' SUB-COMMITTEE
九龍九龍城區愛景街8號海濱南岸1 座,"TOWER 1, Tower 1, NO.8, OI KING STREET, HARBOUR PLACE, KOWLOON CITY, KOWLOON",海濱南岸業主委員會,HARBOUR PLACE OWNERS' COMMITTEE
新界屯門區龍鼓灘沙埔崗D.D.137 LOT 379號成發山莊第一座,"BLOCK 1, Block 1, NO.D.D.137 LOT 379, SHA PO KONG, LUNG KWU TAN, CENFA VILLA, TUEN MUN, NEW TERRITORIES",成發山莊業主委員會,CENFA VILLA OWNERS' COMMITTEE
九龍九龍城區科發道2號懿薈,"Forfar, NO.2, FORFAR ROAD, KOWLOON CITY, KOWLOON",懿薈業主委員會,FORFAR OWNERS' COMMITTEE
九龍九龍城區必嘉街120號黃埔花園第3期 (翠楊苑)1 座,"BLOCK 1, BLOCK 1, NO.120, BAKER STREET, SITE 3 (WILLOW MANSIONS) WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第三期業主委員會,SITE 3 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區德豐街7號黃埔花園第5 期(青樺苑)1 座,"BLOCK 1, BLOCK 1, NO.7, TAK FUNG STREET, SITE 5 (OAK MANSIONS)WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第五期業主委員會,SITE 5 WHAMPOA GARDEN OWNERS' COMMITTEE
九龍九龍城區德安街11號黃埔花園第7期(紅棉苑)1座,"BLOCK 1, BLOCK 1, NO.11, TAK ON STREET, SITE 7 (COTTON TREE MANSIONS) WHAMPOA GARDEN, KOWLOON CITY, KOWLOON",黃埔花園第七期業主委員會,SITE 7 WHAMPOA GARDEN OWNERS' COMMITTEE
新界沙田區鞍駿街23號迎濤灣1座,"TOWER 1, MARBELLA, NO.23, ON CHUN STREET, SHA TIN, NEW TERRITORIES",迎濤灣業主委員會,MARBELLA OWNER'S COMMITTEE
新界沙田區銅鑼灣山18號雲頂峰洋房A,"HOUSE A, House A, NO.18, TUNG LO WAN HILL ROAD, SKY ONE, SHA TIN, NEW TERRITORIES",雲頂峰業主委員會,SKY ONE OWNERS' COMMITTEE
新界沙田區美田路63號壹號雲頂1座,"BLOCK 1, Block 1, NO.63, MEI TIN ROAD, PEAK ONE, SHA TIN, NEW TERRITORIES",壹號雲頂業主委員會,PEAK ONE OWNERS' COMMITTEE
九龍觀塘區清水灣道8號,"NO.8, CLEAR WATER BAY ROAD, KWUN TONG, KOWLOON",清水灣道8號業主委員會,NO. 8 CLEAR WATER BAY ROAD RESIDENTIAL OWNER'S SUB-COMMITTEE
九龍油尖旺區KIL11159詩歌舞街83號亮賢居,"NO.83, SYCAMORE STREET, 11159, KIL, SHINING HEIGHTS, YAU TSIM MONG, KOWLOON",亮賢居業主委員會,SHINING HEIGHTS OWNERS' COMMITTEE
香港島南區APIL129鴨脷洲海旁道8號南灣第一座,"Larvotto Tower 1, NO.8, AP LEI CHAU PRAYA ROAD, 129, APIL, LARVOTTO, SOUTHERN, HONG KONG",南灣業主委員會,LARVOTTO OWNERS' COMMITTEE
香港島灣仔區摩頓臺5號百富中心,"Park Avenue Tower, NO.5, MORETON TERRACE, WAN CHAI, HONG KONG",百富中心業主委員會,PARK AVENUE TOWER OWNERS' COMMITTEE
新界元朗區YLTL504元龍街9號M2 座新時代中城第二座,"TOWER M2, Yoho Midtown Block 2, NO.9, YUEN LUNG STREET, 504, YLTL, YOHO MIDTOWN, YUEN LONG, NEW TERRITORIES",新時代中城業主委員會,YOHO MIDTOWN OWNERS' COMMITTEE
九龍九龍城區迦密村街9號君逸山,"Carmel On The Hill, NO.9, CARMEL VILLAGE STREET, KOWLOON CITY, KOWLOON",君逸山業主委員會,CARMEL ON THE HILL OWNERS' COMMITTEE
新界西貢區唐俊街9號第一座君傲灣第一座,"BLOCK 1, The Grandiose Block 1, NO.9, TONG CHUN STREET, THE GRANDIOSE, SAI KUNG, NEW TERRITORIES",君傲灣業主委員會,OWNERS' COMMITTEE OF THE GRANDIOSE
新界沙田區鞍誠街22號新港城二期C 座,"BLOCK C, PHASE II, BLOCK C, NO.22, ON SHING STREET, SUNSHINE CITY PHASE II, SHA TIN, NEW TERRITORIES",新港城二期業主委員會,SUNSHINE CITY PHASE II OWNERS' COMMITTEE
新界沙田區沃泰街1號嵐岸一座,"TOWER 1, Tower 1, NO.1, YUK TAI STREET, SAUSALITO, SHA TIN, NEW TERRITORIES",嵐岸業主委員會,THE SAUSALITO OWNERS' COMMITTEE
新界屯門區龍鼓灘沙埔崗DRAGON OASIS號海逸雅苑第H座,"BLOCK H, Block H, SHA PO KONG, LUNG KWU TAN, DRAGON OASIS, TUEN MUN, NEW TERRITORIES",海逸雅苑業主委員會,DRAGON OASIS OWNERS' COMMITTEE
新界沙田區保泰街18號天宇海1A座,"TOWER 1A, OCEANAIRE, NO.18, PO TAI STREET, SHA TIN, NEW TERRITORIES",天宇海業主委員會,OCEANAIRE OWNERS' COMMITTEE
新界沙田區美田路1號名城 第一期第一座,"TOWER 1, PHASE 1, Tower 1, NO.1, MEI TIN ROAD, FESTIVAL CITY PHASE 1, SHA TIN, NEW TERRITORIES",名城業主委員會,FESTIVAL CITY OWNERS' COMMITTEE
新界屯門區業旺路6-8號聯昌中心第一期,"STAGE I, Stage I, NO.6-8, YIP WONG ROAD, LUEN CHEONG CAN CENTRE, TUEN MUN, NEW TERRITORIES",聯昌中心業主委員會,LUEN CHEONG CAN CENTRE OWNERS' COMMITTEE
新界沙田區西沙路599號銀湖‧天鋒第一座,"Tower 1, NO.599, SAI SHA ROAD, LAKE SILVER, SHA TIN, NEW TERRITORIES",銀湖‧天鋒業主委員會,LAKE SILVER OWNERS' COMMITTEE
新界屯門區屯富路18號名賢居,"NAPA VALLEY, NO.18, TUEN FU ROAD, TUEN MUN, NEW TERRITORIES",名賢居業主委員會,NAPA VALLEY OWNERS' COMMITTEE
新界屯門區TMTL443屯貴路3號倚嶺南庭,"SOUTH HILLCREST, NO.3, TUEN KWAI ROAD, 443, TMTL, TUEN MUN, NEW TERRITORIES",倚嶺南庭業主委員會,SOUTH HILLCREST OWNERS' COMMITTEE
新界屯門區福亨村路148號翠薈,"GreenView, NO.148, FUK HANG TSUEN ROAD, TUEN MUN, NEW TERRITORIES",翠薈業主委員會,GREENVIEW OWNERS' COMMITTEE
新界屯門區景新徑2號景新臺第1座,"BLOCK 1, KINGSTON TERRACE, NO.2, KING SAN PATH, TUEN MUN, NEW TERRITORIES",景新臺業主委員會,KINGSTON TERRACE OWNERS' COMMITTEE
新界屯門區福亨村路8號豫豐花園第1座,"BLOCK 1, THE SHERWOOD, NO.8, FUK HANG TSUEN ROAD, TUEN MUN, NEW TERRITORIES",豫豐花園業主委員會,THE SHERWOOD OWNERS' COMMITTEE
香港島灣仔區莊士敦道112號雙喜樓,"NO.112, JOHNSTON ROAD, WAN CHAI, HONG KONG",雙喜樓業主委員會,112 JOHNSTON ROAD OWNERS' COMMITTEE
新界荃灣區楊屋道1號萬景峯 1座,"Block 1, NO.1, YEUNG UK ROAD, VISION CITY , TSUEN WAN, NEW TERRITORIES",萬景峯業主委員會,VISION CITY OWNERS' COMMITTEE
新界荃灣區楊屋道18號御凱第一座,"The Dynasty Tower 1, NO.18, YEUNG UK ROAD, THE DYNASTY, TSUEN WAN, NEW TERRITORIES",御凱業主委員會,THE DYNASTY OWNERS' COMMITTEE
香港島南區IL8969貝沙灣道28號貝沙灣1座,"TOWER 1, Residence Bel-Air Tower 1, NO.28, BEL-AIR AVENUE, 8969, IL, RESIDENCE BEL-AIR, ISLAND SOUTH, SOUTHERN, HONG KONG",貝沙灣業主委員會,BEL-AIR OWNERS' COMMITTEE
新界西貢區景嶺路8號都會駅第一座,"TOWER 1, Metrotown Tower 1, NO.8, KING LING ROAD, METRO TOWN, SAI KUNG, NEW TERRITORIES",都會駅業主委員會,OWNERS' COMMITTEE OF METRO TOWN
新界西貢區澳景路88號第一座維景灣畔1座,"TOWER 1, Ocean Shores Tower 1, NO.88, O KING ROAD, OCEAN SHORES, SAI KUNG, NEW TERRITORIES",維景灣畔業主委員會,OWNERS' COMMITTEE OF OCEAN SHORES
香港島東區和富道18號莊士維港軒,"The Harbourside, NO.18, WHARF ROAD, EASTERN, HONG KONG",莊士維港軒業主委員會,THE HARBOURSIDE OWNERS' COMMITTEE
香港島東區英皇道560號健威花園A座,"HEALTHY GARDEN BLOCK A, NO.560, KING'S ROAD, HEALTHY GARDEN, EASTERN, HONG KONG",健威花園業主委員會,HEALTHY GARDEN OWNERS' COMMITTEE
香港島灣仔區華倫街23號尚巒,"Warrenwoods, NO.23, WARREN STREET, WAN CHAI, HONG KONG",尚巒業主委員會,WARRENWOODS OWNERS' COMMITTEE
新界元朗區YLTL503元龍街8號新時代廣場第一座,"Yoho Town Block 1, NO.8, YUEN LUNG STREET, 503, YLTL, YOHO TOWN, YUEN LONG, NEW TERRITORIES",新時代廣場業主委員會,YOHO TOWN OWNERS' COMMITTEE
新界元朗區青山公路屏山段139號朗庭園第一座,"BLOCK 1, NO.139, CASTLE PEAK ROAD, VILLA BY THE PARK, YUEN LONG, NEW TERRITORIES",朗庭園業主委員會,VILLA BY THE PARK OWNERS' COMMITTEE
新界沙田區烏溪沙路 8號第一期迎海第一座.,"BLOCK 1, PHASE 1, NO. 8, WU KAI SHA ROAD, DOUBLE COVE, SHA TIN, NEW TERRITORIES",迎海業主委員會,DOUBLE COVE OWNERS' COMMITTEE
香港島南區黃麻角道88號富豪海灣,"NO.NO.88, WONG MA KOK ROAD, REGALIA BAY, SOUTHERN, HONG KONG",富豪海灣業主委員會,REGALIA BAY OWNERS' COMMITTEE
新界北區古洞路28-33號天巒,"VALAIS, NO.28-33, KWU TUNG ROAD, NORTH, NEW TERRITORIES",天巒業主委員會,VALAIS OWNERS' COMMITTE
新界沙田區美田路68號頂峰別墅洋房1,"HOUSE 1, House 1, NO.68, MEI TIN ROAD, PEAK HOUSE, SHA TIN, NEW TERRITORIES",頂峰別墅業主委員會,PEAK HOUSE OWNERS' COMMITTEE
香港島中西區舊山頂道18號曉峰閣第2座,"Hillsborough Court Tower 2, NO.18, OLD PEAK ROAD, HILLSBOROUGH COURT, CENTRAL AND WESTERN, HONG KONG",曉峰閣業主委員會,HILLSBOROUGH COURT OWNERS' COMMITTEE
香港島中西區西摩道63號珒然,"ARGENTA, NO.63, SEYMOUR ROAD, CENTRAL AND WESTERN, HONG KONG",珒然業主委員會,ARGENTA OWNERS' COMMITTEE
香港島東區華蘭路7號華蘭花園芝蘭閣,"Gee Lan Mansion, NO.7, WESTLANDS ROAD, WESTLANDS COURT, EASTERN, HONG KONG",華蘭花園業主委員會,WESTLANDS COURT OWNER'S COMMITTEE
新界西貢區唐賢街9號天晉天鑽海,"Sky Diamond, NO.9, TONG YIN STREET, THE WINGS, SAI KUNG, NEW TERRITORIES",天晉業主委員會,OWNERS' COMMITTEE OF THE WINGS
新界西貢區唐賢街9號天晉POPCORN 一號 (商場),"POPCORN 1 (Shopping Centre), NO.9, TONG YIN STREET, THE WINGS, SAI KUNG, NEW TERRITORIES",天晉發展項目業主委員會,DEVELOPMENT OWNERS COMMITTEE OF THE WINGS
