estate_name,district_name,region_name,lat,lng,sold_under,year_of_completion,year_of_completion_raw,type_of_block,no_of_blocks,no_of_flats,name_of_block,gross_floor_area_of_flt,saleable_area_of_flats,initial_sale_price,owners_corporation,reg_management_office,property_management,carpark_management,court_website,further_information
Ka Shing Court,North,New Territories,22.49383,114.13414,15A 15B,1995,1995,Harmony,4,2432,Ka Ming House Ka Fai House Ka Yiu House Ka Yeung House,55 - 82,40 - 60,573200 - 1037200,Formed,Tai Po North & Shatin District Tenancy Management Office (6) No. 8 G/F Tin Long House Tin Ping Estate Sheung Shui N.T. Telephone : 3698 0061 Fax : 3698 0060,Appointed by Owners' Corporation,Vinci Park Services Hong Kong Ltd. 2/F 350-360 Fuk Wing Street Cheung Sha Wan Telephone: 2729 4400 Fax: 2729 1661 Web site: www.vincipark.com.hk E-mail: hotmail@vincipark.com,,
King Shing Court,North,New Territories,22.4877,114.14087,15C 16A 16B,1995,1995,Harmony,4,2432,Foon King House Chun King House Yan King House Yin King House,55 - 82,40 - 60,576800 - 1133000,Formed,Tai Po North & Shatin District Tenancy Management Office (6) No. 8 G/F Tin Long House Tin Ping Estate Sheung Shui N.T. Telephone : 3698 0061 Fax : 3698 0060,Appointed by Owners' Corporation,International Property Management Ltd. Unit 1906 Futura Plaza 111-113 How Ming Street Kwun Tong Telephone: 2131 0393 Fax: 2723 6682 E-mail: upl@urbanparking.com.hk,,
On Shing Court,North,New Territories,22.50219,114.13525,11B,1990,1990,Trident 4,1,612,On Shing Court,46 - 73,34 - 55,177600 - 363000,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Unit 221-240 2/F Shek Yuk House Chun Shek Estate Shatin Telephone : 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,,,
Sunningdale Garden,North,New Territories,22.5016,114.13205,13A,1992,1992,Private Sector Participation Scheme,4,830,Block 1 - Block 4,49 - 66,39 - 54,318900 - 530600,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Unit 221-240 2/F Shek Yuk House Chun Shek Estate Shatin Telephone : 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,,,
Tsui Lai Garden,North,New Territories,22.50831,114.12828,11A 11B,1990,1990,Private Sector Participation Scheme,6,2012,Block 1 - Block 6,45 - 63,39 - 55,237100 - 414500,Not Yet Formed,Tai Po North & Shatin District Tenancy Management Office (8) Unit 221-240 2/F Shek Yuk House Chun Shek Estate Shatin Telephone : 2694 4408 Fax : 2647 1930,Kenda Services Ltd G/F Blk 4 Tsui Lai Garden Management Office Sheung Shui NT. Telephone: 2679 8900 Fax: 2670 6618,,,
Wing Fai Centre,North,New Territories,22.50163,114.14315,17A,1996,1996,Private Sector Participation Scheme,4,1350,Block 1 - Block 4,46 - 65,38 - 54,634300 - 1043800,Not Yet Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po Telephone: 2657 2808 Fax: 2657 8660,Urban Property Management Co. Ltd G/F Blk 1 Wing Fai Ctr 2-10 Luen Chi St Luen Wo Mkt Fanling NT. Telephone: 2682 6632 Fax: 2682 8461,,,
Wing Fok Centre,North,New Territories,22.50134,114.14043,14C,1994,1994,Private Sector Participation Scheme,6,1680,Block 1 - Block 6,48 - 66,40 - 55,552100 - 931500,Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po Telephone: 2657 2808 Fax: 2657 8660,Appointed by Owners' Corporation,,,
Yan Shing Court,North,New Territories,22.48718,114.1392,14B 14C,1993,1993,NCB,7,2450,Yan Sau House Yan Lai House Yan Hei House Yan Yuet House Yan Yiu House Yan Choi House Yan Fai House,47 - 76,37 - 59,430300 - 927000,Formed,Tai Po North & Shatin District Tenancy Management Office (6) No. 8 G/F Tin Long House Tin Ping Estate Sheung Shui N.T. Telephone : 3698 0061 Fax : 3698 0060,Appointed by Owners' Corporation,Wilson Parking (HK) Ltd. Room 2901 Metroplaza Tower 1 Kwai Fong Telephone: 2487 6138 Fax: 2428 6026 Web site: www.wilsonparking.com.hk E-mail: wphk@wilsonparking.com.hk,,
Yuk Po Court,North,New Territories,22.49994,114.12829,4A,1982,1982,Old-Cruciform,8,1248,Ching Wu House Ming Wu House Tong Wu House Hon Wu House Chun Wu House Chow Wu House Seung Wu House Tsun Wu House,62 - 62,50 - 50,119700 - 141200,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Unit 221-240 2/F Shek Yuk House Chun Shek Estate Shatin Telephone : 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,,,
Hang Chun Court,Sham Shui Po,Kowloon,22.33621,114.15303,21A,2001,2001,NCB,2,740,Chun Lai House Chun Yin House,46 - 74,37 - 59,796800 - 1684000,Formed,Kowloon West & Sai Kung District Tenancy Management Office(3) G/F Lai Mei House Lai Kok Estate Sham Shui Po Tel: 2361 0070 (24-Hr Telephone: 2204 1027) Fax: 2148 2463,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Email: info@yuexiuproperty.com,,
Chun Man Court,Kowloon City,Kowloon,22.31508,114.17976,1,1981,1981,Non-Standard,12,1800,Man Fuk House Man Pan House Man Lan House Man Hor House Man Chung House Man Hoi House Man Hung House Man Hei House Man Ming House Man Oi House Man Shui House Man Yin House,54 - 66,45 - 55,123500 - 165900,Formed,Kowloon West and Sai Kung 1 District Tenancy Management Office 407-415 Kar Man House Oi Man Estate Homantin Kowloon. Telephone: 2713 0121 Fax: 2768 7653,Appointed by Owners' Corporation,Yue Xiu Apt Parking Limited Ground Floor Kwun Shan Court 60 Ko Shan Road To Kwa Wan Kowloon Tel: 2365 2378 Fax: 2385 4600,,
Choi Po Court,North,New Territories,22.50111,114.1243,6A 7A,1984,1984,Windwill,4,2112,Choi Ying House Choi Ching House Choi Pik House Choi Ngan House,41 - 54,31 - 40,98100 - 186300,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Unit 221-240 2/F Shek Yuk House Chun Shek Estate Shatin Telephone : 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F Seabright Plaza 9-23 Shell St North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,
Ka Keng Court,Sha Tin,New Territories,22.36466,114.17418,24A,2002,2002,Concord,2,640,Ka Oi House Ka Sin House,61 - 79,47 - 60,870000 - 1614300,Not Yet Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Jones Lang LaSalle Management Services Limited G/F Block B 16 Hin Keng Street Area 31A Sha Tin Telephone: 3404 4003 Fax: 3404 4001,Yue Xiu APT Parking Ltd 28/F Seabright Plaza 9-23 Shell St North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,
King Tin Court,Sha Tin,New Territories,22.36715,114.17947,5A,1983,1983,Flexi 2,6,1424,Man Sam House Ching Sam House Bing Sam House Hung Sam House Hang Sam House King Sam House,48 - 54,40 - 44,171800 - 231000,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F Seabright Plaza 9-23 Shell St North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,
May Shing Court,Sha Tin,New Territories,22.37932,114.17492,6A,1984,1984 1985,Windwill / Trident 2,3,2192,Kwai Shing House Yat Shing House Fai Shing House,42 - 64,31 - 45,99800 - 223400,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F Seabright Plaza 9-23 Shell St North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,
Yue Tin Court,Sha Tin,New Territories,22.38282,114.20268,4A,1982,1982 1983,Flexi 1 2,7,1704,Yue Sui House Yue Wo House Yue Kin House Yue Chak House Yue Yat House Yue Yuet House Yue Kwan House,47 - 64,38 - 52,143100 - 229100,Formed,Tai Po North & Shatin District Tenancy Management Office (11) Unit 1-15 G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F Seabright Plaza 9-23 Shell St North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,
Tung Tao Court,Eastern,Hong Kong Island,22.28166,114.22514,Sale of Surplus HOS Flats Phase 3 and 4,2005,2005,New Cruciform and Concord,4,1216,Hiu Tao House Yuk Tao House Fai Tao House Ying Tao House,48 - 88,37 - 62,1261700 - 2756400,Formed,Hong Kong District Tenancy Management Office Yue Wan Sub Office No. 9-20 G/F. Yue Tai House Yue Wan Estate Hong Kong. Tel : 2897 7479 Fax : 2515 1985,UNIMAX Property Consultancy Limited The Management Office G/F. Hiu Tao House (Block A) Tung Tao Court 33 Oi Shun Road Shaukeiwan Hong Kong. Tel: 3195 4297 Fax: 3195 4017,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,,
Ying Ming Court,Sai Kung,New Territories,22.32579,114.25746,10A 10B,1989,1989,NCB,5,1750,Ming Yuen House Ming Leung House Ming Tat House Ming Chi House Ming On House,47 - 76,37 - 59,213300 - 446000,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,Kwik Park Ltd. 7/F Cityplaza One 1111 King's Road Tai Koo Shing Quarry Bay Telephone: 2512 1088 Fax: 2887 6713 Web site: www.guardian-group.com.hk E-mail: kwikdk@guardian-group.com.hk,,
Yu Ming Court,Sai Kung,New Territories,22.31839,114.26627,14D 15A,1994,1994,Harmony,2,1216,Yu Wing House Yu Cheong House,55 - 82,40 - 60,676800 - 1168700,Formed,Kowloon West & Sai Kung District Tenancy Management Office (12) G/F Shin Lai House Shin Ming Estate Tseung Kwan O N.T. Telephone : 2445 3811 Fax : 2445 3677,Appointed by Owners' Corporation,,,
Aldrich Garden,Eastern,Hong Kong Island,22.28123,114.22877,22A,2001,2001,Private Sector Participation Scheme,10,2972,Block 1 - Block 10,46 - 71,40 - 55,850700 - 1754000,Not Yet Formed,Hong Kong District Tenancy Management Office Oi Tung Sub Office 6/F. Oi Sin House Oi Tung Estate Shaukeiwan Hong Kong Telephone : 3160 4291 Fax : 3160 4290,Urban Property Management Ltd. G/F Tower 9 Aldrich Garden 2 Oi Lai Street Shau Kei Wan Telephone: 3196 4133 Fax: 3196 4122 Web site: www.aldrichgarden.com.hk,,,
Peng Lai Court,Islands,New Territories,22.28636,114.03677,16B,1996,1996,Rural Harmony,1,148,Peng Lai Court,56 - 85,39 - 59,515900 - 880300,Formed,Islands District Tenancy Management Office G/F. Mun Shun House Mun Tung Estate Tung Chung Lantau Island Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Appointed by Owners' Corporation,,,
Grand View Garden,Wong Tai Sin,Kowloon,22.34114,114.20753,20A,2000,2000,Private Sector Participation Scheme,6,2230,Tower 1 - Tower 6,44 - 63,38 - 54,835800 - 1594700,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224 Ban Fung House Fung Tak Estate Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,,,
Fung Chuen Court,Wong Tai Sin,Kowloon,22.34397,114.19927,13B,1991,1991,Trident,1,612,Fung Chuen Court,46 - 73,34 - 55,398800 - 815300,Formed,Tsz Wan Shan District Tenancy Management Office Room 211-224 Ban Fung House Fung Tak Estate Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,,,
Fung Lai Court,Wong Tai Sin,Kowloon,22.34435,114.2025,18A,1997,1997,NCB,2,690,Fung Hei House Fung Yan House,46 - 75,37 - 59,759300 - 1689000,Formed,Tsz Wan Shan District Tenancy Management Office Room 211-224 Ban Fung House Fung Tak Estate Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Tsui Chuk Garden,Wong Tai Sin,Kowloon,22.34677,114.18889,10B 10C 12B,1989,1989 1991,Private Sector Participation Scheme,14,3524,Block 1 - Block 14,44 - 62,40 - 56,285500 - 707300,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium Temple Mall North 136 Lung Cheung Road Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners¡¦ Corporation,,,
Tin Wang Court,Wong Tai Sin,Kowloon,22.34456,114.18732,13A,1992,1992,NCB,3,630,Wang King House Wang Yuen House Wang Mei House,48 - 77,37 - 59,494900 - 978900,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium Temple Mall North 136 Lung Cheung Road Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Sun Lai Garden,Wong Tai Sin,Kowloon,22.34087,114.20894,7B,1985,1985,Private Sector Participation Scheme,3,600,Block A Block B Block C,41 - 54,35 - 46,180900 - 320900,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224 Ban Fung House Fung Tak Estate Diamond Hill Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,,,
King Lai Court,Wong Tai Sin,Kowloon,22.34136,114.21139,11A,1989,1989,NCB,2,700,King Cheong House King Tai House,47 - 76,37 - 59,293700 - 593500,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224 Ban Fung House Fung Tak Estate Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Yee Nga Court,Tai Po,New Territories,22.45466,114.17385,13A,1993,1993,NCB,5,1750,Yee Lai House Yee Shun House Yee Hau House Yee Dat House Yee Leung House,47 - 76,37 - 59,423600 - 825600,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Units 221 - 240 2/F. Shek Yuk House Chun Shek Estate Shatin Telephone: 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Chung Nga Court,Tai Po,New Territories,22.45968,114.17059,11C,1991,1991,Trident 3 / Trident 4,3,2040,Chung Chun House Chung Sin House Chung May House,46 - 74,34 - 55,210300 - 421200,Formed,Tai Po North & Shatin District Tenancy Management Office (8) Units 221 - 240 2/F. Shek Yuk House Chun Shek Estate Shatin Telephone: 2694 4408 Fax : 2647 1930,Appointed by Owners' Corporation,,,
Tin Ma Court,Wong Tai Sin,Kowloon,22.34315,114.18798,8A,1986,1986,Windwill,5,2800,Chun Sing House Chun Wai House Chun Fei House Chun On House Chun Hong House,42 - 52,31 - 38,150000 - 290000,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium Temple Mall North 136 Lung Cheung Road Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Kingsford Terrace,Wong Tai Sin,Kowloon,22.34056,114.21115,Sales of Surplus HOS Flat Phase 1 & 2,2003,2003,PSPS,5,2010,Block 1 Block 2 Block 3 Block 4 Block 5,46 - 64,39 - 55,981500 - 1985600,Not Yet Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224 Ban Fung House Fung Tak Estate Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Urban Property Management Limited G/F. Block 2 Kingsford Terrace 8 King Tung Street Ngau Chi Wan Kowloon. Telephone: 2325 5019 Fax: 2325 5045 E-mail:kt@emo.urban.com.hk,Urban Property Management Limited G/F. Block 2 Kingsford Terrace 8 King Tung Street Ngau Chi Wan Kowloon. Telephone: 2325 5019 Fax: 2325 5045 E-mail:kt@emo.urban.com.hk,,
Cheong Shing Court,North,New Territories,22.48385,114.13823,19C,2000,2000,Concord,4,1280,Cheong Ching House Cheong Siu House Cheong To House Cheong Yun House,61 - 79,47 - 60,698300 - 1467700,Formed,Tai Po North & Shatin District Tenancy Management Office (6) No. 8 G/F Tin Long House Tin Ping Estate Sheung Shui N.T. Telephone : 3698 0061 Fax : 3698 0060,Appointed by Owners' Corporation,Vinci Park Services Hong Kong Ltd. 2/F 350-360 Fuk Wing Street Cheung Sha Wan Telephone: 2729 4400 Fax: 2729 1661 Web site: www.vincipark.com.hk E-mail: hotmail@vincipark.com,,
King Hin Court,Wong Tai Sin,Kowloon,22.34122,114.20884,Sales of Surplus HOS Flat Phase 4,2002,2002,New Cruciform Block,1,344,King Hin Court,46 - 79,37 - 63,874300 - 2355400,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224 Ban Fung House Fung Tak Estate Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2570 5690 Fax: 2555 7911 Email: info@amano.com.hk.,,Barrier-Free Access (BFA) Facilities
King Shan Court,Wong Tai Sin,Kowloon,22.34212,114.21061,4A 4B,1982,1982,Flexi 1,6,1584,King Fung House King Pik House King Kui House King Ying House King Yiu House King Wai House,46 - 63,38 - 52,160600 - 267300,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224 Ban Fung House Fung Tak Estate Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2570 5690 Fax: 2555 7911 Email: info@amano.com.hk.,,Barrier-Free Access (BFA) Facilities
Lung Poon Court,Wong Tai Sin,Kowloon,22.34204,114.19985,8B 13A,1987,1987,NCB,7,3680,Lung San House Lung Wu House Lung Chu House Lung Kei House Lung Cheung House Lung Pik House Lung Wan House,43 - 76,31 - 59,154600 - 1000700,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224 Ban Fung House Fung Tak Estate Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2570 5690 Fax: 2555 7911 Email: info@amano.com.hk.,,
Tak Keung Court,Wong Tai Sin,Kowloon,22.3388,114.18598,21A,2001,2001,NCB,2,700,Tak Yin House Tak Wah House,47 - 76,37 - 60,879400 - 1922800,Formed,Lok Fu Estate Office Podium Level 1 Hong Kong Housing Authority Customer Service Centre 3 Wang Tau Hom South Road Kowloon Telephone: 2336 5144 Fax: 2337 6523,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2570 5690 Fax: 2555 7911 Email: info@amano.com.hk.,,Barrier-Free Access (BFA) Facilities
Fung Ting Court,Yuen Long,New Territories,22.44308,114.03216,23A,2001,2001,Concord,2,312,Yan Ting House Wa Ting House,61 - 79,47 - 61,681100 - 1233800,Formed,Yuen Long District Tenancy Management Office(1) G/F Chuen Shui House Shui Pin Wai Estate Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F Seabright Plaza No. 9 - 23 Shell Street North Point HK Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,Barrier‐Free Access (BFA) Facilities
Yin Lai Court,Kwai Tsing,New Territories,22.34895,114.1266,12B,1991,1991,Flexi 3,2,560,Yin Kwong House Yin Tak House,54 - 58,43 - 46,453800 - 621000,Formed,Lai King Estate Office No.6 G/F. Fung King House Lai King Estate Kwai Chung T : 2743 3814 F : 2310 2406,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Hiu Tsui Court,Eastern,Hong Kong Island,22.26332,114.24736,11A,1990,1990,NCB,2,660,Ngar Tsui House Bik Tsui House,47 - 76,37 - 59,270100 - 558900,Formed,Hing Wah (II) Estate Office Room 701-710 On Hing House Hing Wah (II) Estate Chai Wan Hong Kong. Tel : 2557 0115 Fax : 2515 1975,Appointed by Owners' Corporation,Yue Xiu Apt Parking Limited Room 02 21/F. Sup Tower 75-83 King's Road North Point Hong Kong Tel: (852) 3598 9295 Fax: (852) 2523 7892,,
Harmony Garden,Eastern,Hong Kong Island,22.26603,114.24895,17B 18A,1997,1997,Private Sector Participation Scheme,8,2340,Block 1 - Block 8,46 - 64,40 - 55,861600 - 1490700,Formed,Hing Wah (II) Estate Office Room 701-710 On Hing House Hing Wah (II) Estate Chai Wan Hong Kong. Tel : 2557 0115 Fax : 2515 1975,Appointed by Owners' Corporation,,,
Cheerful Garden,Eastern,Hong Kong Island,22.26305,114.25052,15C 16A,1995,1995,Private Sector Participation Scheme,5,1870,Block 1 - Block 5,48 - 66,39 - 55,761000 - 1365100,Not Yet Formed,Wan Tsui Estate Office G/F Wai Tsui House Wan Tsui Estate 3 Tsui King Street Chai Wan Hong Kong. Tel : 2558 0180 Fax : 2505 2147,Chevalier Property Management Ltd. Management Office Cheerful Garden 23 Siu Sai Wan Road Chai Wan Telephone: 2505 4111 Fax: 2556 9521 Web site: www.chevalier.com,,,
Fullview Garden,Eastern,Hong Kong Island,22.26258,114.25187,13C 14A,1993,1993,Private Sector Participation Scheme,11,3240,Block 1 - Block 11,47 - 65,40 - 55,527200 - 1067800,Formed,Wan Tsui Estate Office G/F Wai Tsui House Wan Tsui Estate 3 Tsui King Street Chai Wan Hong Kong. Tel : 2558 0180 Fax : 2505 2147,Chevalier Property Management Ltd. Management Office G/F Block 10 Fullview Garden 18 Siu Sai Wan Road Chai Wan Telephone: 2898 3803 Fax: 2898 4399 Web site: www.chevalier.com,,,
Yuet Chui Court,Eastern,Hong Kong Island,22.2606,114.23799,19A,1999,1999,NCB,1,354,Yuet Chui Court,47 - 74,37 - 59,902400 - 2194600,Formed,Wan Tsui Estate Office G/F Wai Tsui House Wan Tsui Estate 3 Tsui King Street Chai Wan Hong Kong. Tel : 2558 0180 Fax : 2505 2147,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,,
Lok Hin Terrace,Eastern,Hong Kong Island,22.2636,114.24074,16A,1995,1995,Private Sector Participation Scheme,5,1550,Block 1 - Block 5,48 - 66,39 - 53,867500 - 1419800,Not Yet Formed,Wan Tsui Estate Office G/F Wai Tsui House Wan Tsui Estate 3 Tsui King Street Chai Wan Hong Kong. Tel : 2558 0180 Fax : 2505 2147,Guardian Property Management Limited Lok Hin Terrace Management Office 350 Chai Wan Road Chai Wan Telephone: 2557 8608 Fax: 2557 5136 Web Site: www.savillsguardian.com.hk E-mail: lokhin@savillsguardian.com.hk,,,
Walton Estate,Eastern,Hong Kong Island,22.26412,114.23995,3A,1982,1982,Private Sector Participation Scheme,4,760,Tak Fook House Tak Hay House Tak Luk House Tak Shou House,43 - 52,36 - 43,165300 - 232600,Formed,Wan Tsui Estate Office G/F Wai Tsui House Wan Tsui Estate 3 Tsui King Street Chai Wan Hong Kong. Tel : 2558 0180 Fax : 2505 2147,Appointed by Owners' Corporation,,,
Yee Tsui Court,Eastern,Hong Kong Island,22.26462,114.2385,3A,1981,1981,Flexi 2,3,600,Cheong Yee House Yat Yee House Lok Yee House,48 - 54,39 - 44,229400 - 292100,Formed,Hong Kong District Tenancy Management Office Yue Wan Sub Office No. 9-20 G/F. Yue Tai House Yue Wan Estate Hong Kong. Tel : 2897 7479 Fax : 2515 1985,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,,
Hang Tsui Court,Eastern,Hong Kong Island,22.26718,114.24145,18A,1997,1997,NCB,2,674,Tsui Ching House Tsui Ying House,47 - 75,37 - 59,812200 - 1655100,Formed,Hong Kong District Tenancy Management Office Yue Wan Sub Office No. 9-20 G/F. Yue Tai House Yue Wan Estate Hong Kong. Tel : 2897 7479 Fax : 2515 1985,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,,
Tung Hei Court,Eastern,Hong Kong Island,22.28066,114.21909,16B 17A,1995,1995,Harmony,4,2432,King Hei House Yat Hei House Wah Hei House Yiu Hei House,55 - 83,40 - 60,854200 - 1553400,Formed,Model Housing Estate Office G/F. Block C Model Housing Estate 770 King's Road North Point Hong Kong . Tel : 2562 4255 Fax : 2562 9409,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Kwai Chun Court,Kwai Tsing,New Territories,22.36449,114.13186,16A,1995,1995,NCB,3,1050,Kwai Cheong House Kwai Yue House Kwai Fung House,47 - 76,37 - 59,794800 - 1619100,Formed,Kwai Chung Estate Office (2) Podium Level 4 Luk Kwai House Kwai Chung Estate T : 2427 9006 F : 2423 6841,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Hong Yat Court,Kwun Tong,Kowloon,22.31099,114.23463,22B,2001,2001,Concord,5,1600,Hong King House Hong Nin House Hong Yu House Hong Lai House Hong Ting House,61 - 78,47 - 60,1005800 - 1921600,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F Sau Yat House Sau Mau Ping Estate 101 Sau Mau Ping Road Kwun Tong Kowloon Telephone: 2349 1361 Fax: 2389 7462,Hong Yip Service Co. Ltd. Hong Yat Court Management Office G/F. Block A Hong Yat Court 1 Tak Tin Street Lam Tin Kowloon. Telephone: 2354 7273 2354 7232 Fax: 2121 0709 E-mail: hyc135@hongyip.com,Owned and operated by private corporation,,
Kwai Hong Court,Kwai Tsing,New Territories,22.36284,114.13013,14C,1993,1993,Non-Standard,2,701,Kwai Ming House Kwai Yat House,52 - 65,44 - 54,829500 - 1223600,Formed,Kwai Chung Estate Office (2) Podium Level 4 Luk Kwai House Kwai Chung Estate T : 2427 9006 F : 2423 6841,Appointed by Owners' Corporation,International Property Management Ltd. Unit 1906 Futura Plaza 111-113 How Ming Street Kwun Tong Telephone: 2131 0393 Fax: 2723 6682 E-mail: upl@urbanparking.com.hk,,
Lei On Court,Kwun Tong,Kowloon,22.30843,114.23261,Phase 24A & Sales of Surplus HOS Flat Phase 3,2002,2002,Concord,6,1684,Lei Hong House Lei Yat House Lei Yan House Lei Yi House Lei King House Lei Ting House,60 - 92,47 - 61,982400 - 2348300,Formed,Housing Department Kowloon East (4) District Tenancy Management Office G/F Wun Wah House Lok Wah South Estate Ngau Tau Kok Kowloon Telephone: 2755 6613 Fax: 2757 2551,Kai Shing Management Service Ltd. Landscape Podium Lei On Court 11 Lei Yue Mun Road Lam Tin Telephone: 2772 2186 Fax: 2772 2189 Web site: http://www.kaishing.com.hk,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,Barrier‐Free Access (BFA) Facilities
Ka Lung Court,Southern,Hong Kong Island,22.24931,114.13797,12C,1991,1991,NCB,4,1402,Ka Sing House Ka Ping House Ka Chun House Ka Kit House,47 - 76,37 - 59,478200 - 997300,Formed,Hong Kong District Tenancy Management office Wah Fu (II) Sub-office G/F No. 21-34 Wah Hing House Wah Fu (II) Estate Pokfulam Hong Kong Tel : 2551 0660 Fax : 2875 5153,Appointed by Owners' Corporation,,,
